Prueba,Palabra,Indice Casilla,Coordenadas,Tiempo,Tiempo Total,Errores
8,?,11,"[(0.7984077572822581, 0.25018153190612835), (0.8337546765804303, 0.24145162403583567), (0.8529442191123977, 0.23178859055042306), (0.864904826879503, 0.2237509325146679), (0.8720043718814866, 0.2177764356136326), (0.8738701641559616, 0.2138455718755726), (0.8738701641559616, 0.2135829344391827), (0.8748654186725633, 0.21914825141429942), (0.8759958982467667, 0.226776729524136), (0.8771263778209702, 0.23234204649925272), (0.8782568573951737, 0.23648848086595575), (0.8794226646423355, 0.2383855715394024), (0.8801218092441573, 0.23879475146532098), (0.8806857287883773, 0.2427459254860882), (0.8807210564613357, 0.24331710934639017), (0.880608224868776, 0.24473599195480386), (0.8804600656032578, 0.24504453837871593), (0.879644006490709, 0.24321647584438363), (0.87882794737816, 0.23957384824752848), (0.8785404801368728, 0.23931121081113854), (0.8785404801368728, 0.2396197572350506), (0.8786886394023912, 0.24118965715169946), (0.8792581498622909, 0.2461205780506138), (0.8800668776035323, 0.25160790532827415), (0.8810080051422133, 0.25709523260593453), (0.881988006830217, 0.26258255988359497), (0.8828198492527022, 0.26649998724460644), (0.8835777521133437, 0.2710759162902836), (0.8840964376926437, 0.27568252384662667), (0.884482723474504, 0.27797461748123214), (0.8848355889320387, 0.27797461748123214), (0.8852827906608598, 0.27569078207016035), (0.8855218887329116, 0.2733986884355549), (0.885951387882234, 0.26970432400703476), (0.8863808870315566, 0.26832447350025224), (0.8868576884269729, 0.27228794693946884), (0.8876416802406325, 0.2785352557897572), (0.8884256720542923, 0.28249872922897384), (0.8890192627906816, 0.28554995954036755), (0.8892113268375412, 0.28554995954036755), (0.8892113268375412, 0.28010343015193984), (0.8882644891738908, 0.27285771369934125)]",89.426867,91.9467732,0
-------,-------,-------,-------,-------,-------,-------
9,TAB. PERSONAS,4,"[(0.04266417957842386, 0.4829685330390934), (0.04241661280393637, 0.4920968115329746), (0.042169046029448876, 0.5067345798015598), (0.04192147925496139, 0.5254062116146091), (0.04170812070369758, 0.5408586204051975), (0.04157669283449687, 0.5552375197410588), (0.041708120703697574, 0.5701270639896397), (0.04183954857289828, 0.5830992579460148), (0.042052907124162084, 0.5882668316364292), (0.04231476485729254, 0.595245206356049), (0.04262820295989549, 0.6004879713058476), (0.042810213193297746, 0.5991503894329075), (0.04304061755538023, 0.5971904337406163), (0.04327440783381498, 0.5990012347698216), (0.04354672729969061, 0.5990012347698216), (0.04376746639609373, 0.5990012347698216), (0.04390117712318933, 0.6039309561252598), (0.04398649372160471, 0.6058909118175511), (0.04398649372160471, 0.6058909118175511), (0.04398649372160471, 0.6054514467716221), (0.04398649372160471, 0.6024816811084752), (0.04413263909518755, 0.597551959753037), (0.04457182139158285, 0.5926222383975988), (0.045738033577800166, 0.5896524727344518), (0.047029072418809305, 0.5871221721172337), (0.04832011125981846, 0.5825557172298436), (0.049552033096552275, 0.5825557172298436), (0.05049091801047363, 0.583916032314301), (0.050702773034572976, 0.5885677993297581), (0.050702773034572976, 0.5953688025474553), (0.050348771736026185, 0.6045870244503025), (0.049746190384030706, 0.6140404045581822), (0.048805738240480796, 0.6262181460857397), (0.04786528609693087, 0.6364812076091771), (0.04692483395338095, 0.6432182610034948), (0.046676253899932275, 0.6521045506000526), (0.04667625389993228, 0.6561892271041877), (0.04667625389993228, 0.6583126783370978), (0.046676253899932275, 0.6601527869701392), (0.046676253899932275, 0.6612904310226447), (0.046338383108377824, 0.6624280750751502), (0.04600051231682337, 0.6624280750751502), (0.04600051231682337, 0.6565262258052833)]",5.8353208,98.7960575,0
9,YO,1,"[(0.33654640913009687, 0.8348178625106824), (0.38222898244857834, 0.8358263194561018), (0.42830958962440524, 0.8333862543106092), (0.4518891483545307, 0.8329625904560102), (0.4585615217685703, 0.8344047486782087), (0.46365488469600713, 0.836318349838258), (0.468748247623444, 0.8397090256214155), (0.4734435766935353, 0.8470682740211501), (0.47385740876197857, 0.8509790003299728), (0.47014518380165143, 0.851970493793489), (0.4654498547315602, 0.8524905443191543), (0.4616721838712697, 0.8536436021327987), (0.45789451301097905, 0.8542766094207778), (0.4553925514221195, 0.8549096167087569), (0.453442141413689, 0.8549096167087569), (0.45176862180233035, 0.8549096167087569), (0.44725634157657657, 0.8542766094207778), (0.4427440613508228, 0.8536436021327987), (0.43880105316638984, 0.8540837168693557), (0.4361737370491031, 0.8556189775466934), (0.4342526346445087, 0.8578583359718337), (0.4342526346445087, 0.8603725433349624), (0.43289207518100775, 0.8628867506980911), (0.43064538538456, 0.8643278360366835), (0.4283986955881122, 0.8654420614242568), (0.42615200579166446, 0.8657169103622451), (0.42329499721527136, 0.865918350219728), (0.4224088668823246, 0.8663524270057692), (0.4224088668823246, 0.8667865037918105), (0.4224088668823246, 0.8668526649475112), (0.4217985481023792, 0.8668526649475112), (0.4217985481023792, 0.8666512250900282), (0.4211882293224338, 0.866217148303987), (0.42162282764911685, 0.865078973770143), (0.4220574259757999, 0.8627001345157638), (0.4220441877841953, 0.8588463783264174), (0.4220309495925907, 0.8528856694698348), (0.4227947354316715, 0.8426444351673139), (0.422513604164124, 0.8289676547050489), (0.4214755177497868, 0.8156105041503918)]",12.8867971,98.7960575,0
9,TAB. INICIAL,0,"[(0.05603749267756978, 0.8716342568397536), (0.05492013245821038, 0.8706328630447402), (0.05380277223885098, 0.8691249012947097), (0.05315788164734879, 0.8669939994812026), (0.052204835042357824, 0.8638238787651076), (0.05064374804496803, 0.8572081565856948), (0.049252161011100186, 0.8517797529697431), (0.04786057397723235, 0.8463513493537915), (0.04654943645000494, 0.8396394371986402), (0.046168963238597274, 0.8339667439460767), (0.04658229984343088, 0.8317396521568309), (0.04692879393696821, 0.8298332035541545), (0.04699396602809465, 0.8278106093406687), (0.04665054641664065, 0.8276944637298594), (0.04571536406874693, 0.8262537717819225), (0.04478018172085321, 0.8248130798339854), (0.04391184188425577, 0.8233723878860484), (0.04347173497080839, 0.8233723878860484), (0.04342347458004987, 0.8233723878860484), (0.04373206645250356, 0.8249724745750437), (0.04404065832495725, 0.8266887068748485), (0.04459667876362837, 0.8290020525455487), (0.045249956846237546, 0.8318044364452375), (0.04597061872482336, 0.8363976597785963), (0.046616850420832995, 0.8417290925979628), (0.04726308211684263, 0.8469443798065199), (0.04788354299962557, 0.8515625536441818), (0.04793418161571063, 0.8533533930778517), (0.04788354299962557, 0.8522291302680983), (0.047484739869833356, 0.8488412559032454), (0.04706919156014956, 0.8454533815383926), (0.04669289924204386, 0.8420655071735397), (0.046642260625958804, 0.8407348513603224), (0.046642260625958804, 0.8405284583568587), (0.04715419262647665, 0.8415719270706191), (0.047682869806886095, 0.8415719270706191), (0.04827704206109085, 0.8410133004188551), (0.04854480549693145, 0.8369407534599317), (0.04879908375442066, 0.8290545344352734), (0.048511530458927525, 0.8185846209526074), (0.04754952639341391, 0.80806104540825), (0.04612293429672755, 0.7974222540855418), (0.045022751018405326, 0.7892539143562327), (0.043898276239633924, 0.7848992466926585), (0.043047869578004244, 0.7831282734870921), (0.04287191368639505, 0.7824544310569774), (0.04283413700759447, 0.7824544310569774), (0.042796360328793887, 0.7835515618324291), (0.042796360328793887, 0.7831665933132184), (0.042796360328793887, 0.7812568724155439), (0.043086415901780487, 0.7759523034095777), (0.043376471474767093, 0.7706477344036113), (0.043666527047753693, 0.7642460346221934)]",36.165326,98.7960575,0
9,TAB. VERBOS,1,"[(0.26077918708324477, 0.770321148633958), (0.26384578943252607, 0.7724888861179362), (0.2681399434804921, 0.7756507277488719), (0.27170314192771955, 0.7775807738304149), (0.27588008344173476, 0.7806681573390971), (0.2814826905727391, 0.7837555408477794), (0.2858300119638447, 0.7877767682075512), (0.28777122199535415, 0.7908038914203654), (0.2891554027795796, 0.7919612288475048), (0.291014471650124, 0.7938310146331797), (0.2909261375665669, 0.7957008004188548), (0.2907171398401264, 0.7975130677223217), (0.29168670177459755, 0.7993253350257884), (0.2932132929563526, 0.8021612048149119), (0.29168670177459755, 0.802158683538438), (0.2901601105928425, 0.802156162261964), (0.28746115267276806, 0.8003413736820232), (0.285934561491013, 0.7998272955417643), (0.2840052366256718, 0.8036027550697338), (0.2836025029420857, 0.8049034655094159), (0.2831997692584996, 0.8049034655094157), (0.2846470952034001, 0.8060193181037913), (0.2849220544099812, 0.8047186076641093), (0.2849220544099812, 0.7999745428562175), (0.28408162295818373, 0.7986738324165354), (0.28369310498237654, 0.7981270253658306), (0.28260390460491225, 0.79646436572075), (0.28151470422744795, 0.795745199918748), (0.2814917147159581, 0.7951983928680431), (0.28192063868045847, 0.7945006251335155), (0.2818976491689686, 0.7943496644496928), (0.28189764916896864, 0.7941987037658702), (0.28189764916896864, 0.7941400229930888), (0.2815091311931614, 0.7939089834690105), (0.2815091311931614, 0.7938289046287548), (0.2809666484594349, 0.793748825788499), (0.279098162055016, 0.7922304809093486), (0.2776592105627064, 0.7907922148704539), (0.27534616887569474, 0.7848545253276835), (0.273033127188683, 0.7750399291515361), (0.2712625682353978, 0.7645762264728556), (0.270818012952805, 0.7512737333774576), (0.27126992642879527, 0.7340462327003487)]",47.5757485,98.7960575,0
9,NECESITAR,13,"[(0.32515281140804336, 0.15915029197931335), (0.32955200970172915, 0.16554632186889692), (0.33376683890819586, 0.1700326740741734), (0.3389038175344471, 0.18121729791164443), (0.3412255555391315, 0.19648363739252134), (0.3465741187334063, 0.21451928019523664), (0.3491019964218142, 0.23788045644760175), (0.3514237344264987, 0.26265059411525765), (0.35152086019516016, 0.2830136656761174), (0.3512875050306323, 0.29714858978986786), (0.3510541498661045, 0.30617429018020675), (0.3507335513830188, 0.31221057772636457), (0.3506190925836566, 0.3168379038572316), (0.3506190925836566, 0.319891613721848), (0.35096589922904997, 0.3229453235864644), (0.3510847955942157, 0.32599903345108067), (0.3510847955942157, 0.3264926373958591), (0.3510847955942157, 0.3269862413406376), (0.354688107967377, 0.3267622560262684), (0.35446019768714937, 0.3297341853380208), (0.35437093675136594, 0.32951020002365156), (0.35415121316909826, 0.32951020002365156), (0.3539314895868305, 0.3266804754734044), (0.3502389162778858, 0.3208031922578816), (0.3501496553421024, 0.31049477159977), (0.3537529677152637, 0.30338226556778), (0.36127891242504157, 0.29626975953578993), (0.36880485713481936, 0.2930737674236302), (0.37582146525383037, 0.292925333976746), (0.38249292671680496, 0.292925333976746), (0.3855610758066182, 0.292925333976746), (0.3848370552062993, 0.29259484410285996), (0.382869648933411, 0.2911775648593907), (0.3825245022773746, 0.2885415315628056), (0.3825245022773746, 0.2859844267368321), (0.3825245022773746, 0.28103306293487595), (0.38128111660480535, 0.2753805488348012), (0.38193382918834723, 0.26882485151290936), (0.38193382918834723, 0.2634879082441334), (0.38193382918834723, 0.2590643763542179), (0.3813431560993198, 0.2570351034402852), (0.3809075772762302, 0.25261394530534786)]",54.602439,98.7960575,0
9,VER,5,"[(0.48783651292324104, 0.6459183752536779), (0.4837849080562595, 0.6599685251712806), (0.477595886588097, 0.6740186750888831), (0.4714068651199345, 0.6755537807941444), (0.4619902998209004, 0.6809080123901374), (0.45165631175041243, 0.6879651248455054), (0.44419502019882245, 0.6950222373008735), (0.4367337286472325, 0.7020793497562416), (0.4275290995836262, 0.7091364622116098), (0.42223122715950057, 0.712374448776246), (0.41938166618347206, 0.712374448776246), (0.4159894078969959, 0.712374448776246), (0.41259714961051974, 0.7129659354686746), (0.41094822883606, 0.7090929567813882), (0.41094822883606, 0.7052199780941019), (0.41094822883606, 0.7057903170585641), (0.41327636241912885, 0.7063606560230263), (0.4134789735078816, 0.7063868999481209), (0.41580710709095037, 0.7108776092529305), (0.4167965471744541, 0.7153683185577402), (0.41780660748481785, 0.7163426637649545), (0.4188166677951816, 0.7173170089721689), (0.4208881258964543, 0.7182439625263223), (0.4208340615034108, 0.7182439625263223), (0.4197905570268635, 0.7148648917675027), (0.41665497422218367, 0.7067684829235086), (0.4135193914175038, 0.7024624586105356), (0.4101633042097096, 0.6943660497665414), (0.4059070229530339, 0.6871965944767006), (0.40165074169635806, 0.6825114250183113), (0.3960599362850193, 0.6816166400909431), (0.38774370253086127, 0.6769314706325538), (0.37910203337669407, 0.6728491723537452), (0.3683147758245472, 0.6672872781753547), (0.3554843246936802, 0.6571366310119635), (0.3460598558187488, 0.64671300649643), (0.33886018991470374, 0.6304322898387914), (0.33281769752502477, 0.6156209886074071), (0.32982098758220707, 0.6006831228733067), (0.3282776802778248, 0.5882628679275517), (0.32633929848671006, 0.5728853881359104), (0.32535384297370956, 0.5619327127933506), (0.3248212784528737, 0.5521722435951236), (0.3242887139320378, 0.5351824283599856)]",65.7440058,98.7960575,0
9,TAB. INICIAL,0,"[(0.04514293707907237, 0.8123704731464396), (0.04792492128908672, 0.8211398959159861), (0.0523274630308155, 0.8293931901454938), (0.05685361549258271, 0.8375788509845746), (0.062285413220525186, 0.8457435846328748), (0.06839477904140989, 0.8540236175060286), (0.0725595384836201, 0.8602658927440657), (0.07510071843862576, 0.8683284580707564), (0.0773208022117619, 0.8758064746856704), (0.07931464761495632, 0.8824916601181044), (0.08029856458306354, 0.8857094824314131), (0.08168594986200375, 0.8894247472286239), (0.08299306556582493, 0.8910044848918929), (0.08430018126964611, 0.892115324735643), (0.08388819843530697, 0.8926127672195451), (0.08298455104231876, 0.8931102097034472), (0.08216909989714664, 0.8934777736663836), (0.08216909989714664, 0.8937467694282549), (0.08135364875197452, 0.8940157651901263), (0.08135364875197452, 0.8946523249149341), (0.08135364875197452, 0.8950198888778704), (0.08062508404254956, 0.8950198888778704), (0.07908106818795246, 0.8947508931159991), (0.07835250347852749, 0.8947508931159991), (0.0782643072307114, 0.8947508931159991), (0.07925374060869259, 0.8958545804023761), (0.08048007413744968, 0.8975381433963794), (0.08170640766620677, 0.898630356788637), (0.08307247087359468, 0.8994535744190234), (0.08386168107390443, 0.9002767920494097), (0.084064926207066, 0.9002653181552904), (0.08426817134022754, 0.8996739685535449), (0.08495788276195568, 0.8996739685535449), (0.0862099885940556, 0.8987091541290301), (0.08669645488262219, 0.8959506750106829), (0.08718292117118878, 0.8931921958923358), (0.08766938745975536, 0.8892665266990678), (0.08766938745975536, 0.8828948795795455), (0.08766938745975536, 0.8769744396209731), (0.08863909915089649, 0.8705459177494064), (0.08969019278883976, 0.8638365149498)]",73.3796945,98.7960575,0
9,TAB. PERSONAS,4,"[(0.048095992207527534, 0.491256278753281), (0.04734084233641661, 0.5130378842353824), (0.04630308710038698, 0.5234699517488484), (0.04526533186435736, 0.5322366356849674), (0.04422757662832773, 0.5342755138874058), (0.04366145767271555, 0.5379128098487858), (0.043489860370755556, 0.5415501058101657), (0.04366145767271555, 0.5451874017715459), (0.04383305497467554, 0.5474233269691472), (0.044116973876953486, 0.5496592521667485), (0.04424382895231283, 0.5496592521667485), (0.04424382895231283, 0.5496592521667485), (0.04407223165035284, 0.5515688121318821), (0.04390063434839285, 0.5534783720970158), (0.043455807492137316, 0.5592796742916112), (0.04297600090503729, 0.5611892342567448), (0.042426270246506095, 0.5630987942218785), (0.041717926785350204, 0.5667297661304478), (0.04100958332419431, 0.5703607380390172), (0.040666429698467614, 0.5700999677181249), (0.04098532833159006, 0.5737309396266942), (0.04150100611150301, 0.5711243569850926), (0.04217529669404066, 0.5711243569850926), (0.04284958727657831, 0.5739013969898228), (0.043283370509744054, 0.576678436994553), (0.04281336180865801, 0.5794554769992832), (0.0427771363407377, 0.5880506813526158), (0.042729486525059104, 0.5895491302013403), (0.04281805306673086, 0.5824523746967321), (0.0430436328053478, 0.5753556191921239), (0.043702995777130486, 0.56391733288765), (0.04411309063434637, 0.5528984367847447), (0.044534609839320546, 0.5427387416362767), (0.044819912686944366, 0.5398935019969945), (0.04520647488534487, 0.5370482623577122), (0.04559303708374537, 0.5385445535182958), (0.04579508416354694, 0.5410751283168798), (0.0459971312433485, 0.5473121047019962), (0.046199178323150056, 0.5520527899265293), (0.046199178323150056, 0.5567934751510625), (0.046199178323150056, 0.557827758789063), (0.04642199799418487, 0.557827758789063), (0.04675400480628051, 0.5534477829933171), (0.047086011618376146, 0.5490678071975712), (0.047166242450476056, 0.5440527021884922), (0.047246473282575974, 0.5427439987659458), (0.0473556604236368, 0.5414352953433994), (0.04753812290728129, 0.5382325708866122), (0.047839748114347824, 0.5325686335563663), (0.0483931493014101, 0.5243404000997546)]",79.5059779,98.7960575,0
9,DOCTOR,13,"[(0.3458829581737522, 0.39539103806018866), (0.34441602230072055, 0.39169474542141), (0.3429230153560642, 0.3860482037067417), (0.34322533011436496, 0.37610657513141665), (0.3420601010322574, 0.3607708096504216), (0.33904223144054446, 0.34440844058990516), (0.3387810498476032, 0.3287455171346668), (0.3385459393262867, 0.31425864398479497), (0.33684328496456184, 0.30119868516922044), (0.3350637793540958, 0.2935328632593159), (0.33572975695133245, 0.2883114457130436), (0.3347788125276569, 0.2845716029405598), (0.33323441743850746, 0.27891362011432685), (0.33127946257591284, 0.2741308033466343), (0.3308689028024677, 0.27143846452236214), (0.32986489236354866, 0.26595806032419245), (0.3288608819246296, 0.2632657214999203), (0.32911629974842105, 0.2632657214999203), (0.32911629974842105, 0.2653561994433407), (0.32911629974842105, 0.2680485382676129), (0.32708377242088355, 0.2735289424657826), (0.325051245093346, 0.2831083625555042), (0.3201469033956531, 0.3029216676950458), (0.3181731849908832, 0.32416806817054783), (0.3161994665861133, 0.3427221298217777), (0.31625827550888097, 0.36127619147300755), (0.3140524387359623, 0.3729431718587879), (0.31320654749870336, 0.37437626719474826), (0.3100754857063297, 0.37437626719474826), (0.30694442391395604, 0.37300904095172915), (0.3049050897359852, 0.37164181470871005), (0.3051304012537006, 0.3712274700403217), (0.30471578240394626, 0.37081312537193334), (0.30432168841362034, 0.370398780703545), (0.3023434758186344, 0.3703020632267002), (0.2992735356092457, 0.36918659508228335), (0.29620359539985697, 0.36711824536323584), (0.29436491429805794, 0.36504989564418827), (0.2933506011962895, 0.3612383663654331), (0.293920406699181, 0.3550492048263553), (0.29607433080673257, 0.34699809253215824), (0.296703746914864, 0.3304909318685535), (0.29758772552013435, 0.3139837712049488)]",95.3150778,98.7960575,0
-------,-------,-------,-------,-------,-------,-------
10,TAB. PERSONAS,4,"[(0.05974190048873464, 0.5049578189849857), (0.05903064534068146, 0.5221485286951069), (0.05756400637328664, 0.5302693724632267), (0.05630485042929688, 0.5390490531921391), (0.05431123338639775, 0.5430776536464695), (0.05206580758094827, 0.5520166337490087), (0.050098285824060826, 0.5596029281616215), (0.04841687716543712, 0.5694349288940435), (0.04703098349273242, 0.5755272984504705), (0.046345823630690945, 0.5898962497711187), (0.046312096342444785, 0.603664898872376), (0.04648118503391779, 0.6166104197502141), (0.04661654643714465, 0.6256087005138402), (0.0467519078403715, 0.6363085150718695), (0.046920996531844505, 0.6406185925006873), (0.046920996531844505, 0.6406185925006873), (0.04680665545165576, 0.6406185925006872), (0.04655122607946433, 0.6423201262950904), (0.04629579670727289, 0.6444184720516212), (0.04604036733508147, 0.6504070878028877), (0.04588386453688181, 0.6588080823421485), (0.04572988674044646, 0.6693712174892432), (0.0458008129149679, 0.679934352636338), (0.04587173908948936, 0.6931648612022407), (0.04596003852784671, 0.7070518314838417), (0.0461185000836853, 0.7163918375968941), (0.046195056661963836, 0.7218681693077096), (0.04618779756128825, 0.7273445010185251), (0.046317142993212115, 0.7280551135540018), (0.046429115161300084, 0.7259205281734475), (0.04654108732938804, 0.7280551135540018), (0.04667769186198749, 0.7280551135540018), (0.04667769186198749, 0.7298890352249154), (0.04667769186198748, 0.7317694187164315), (0.04654108732938804, 0.7336498022079476), (0.046569389104843505, 0.7342831790447244), (0.046432784572244055, 0.7370511412620553), (0.046269829571247464, 0.7370976030826577), (0.04597027003765143, 0.7379851818084726), (0.04580731503665484, 0.7400895297527322), (0.045409629866481185, 0.7430711686611184), (0.04518659636378324, 0.7442879378795633), (0.04512651786208189, 0.7442879378795633), (0.04506643936038053, 0.7434003591537485), (0.04500636085867918, 0.7434003591537485), (0.04509657286107576, 0.7416354894638071), (0.04509657286107576, 0.7395311415195474), (0.04507773183286226, 0.7415670871734628), (0.04507773183286226, 0.7436030328273782), (0.04515819847583807, 0.743534630537034), (0.04515819847583807, 0.7430043220520028), (0.04515819847583807, 0.7430156588554391), (0.04524841047823465, 0.7373835623264322), (0.04531978145241773, 0.7301548719406137), (0.045772019401193034, 0.7192533433437356), (0.04667213968932665, 0.7088137209415445)]",12.6122367,144.6880761,0
10,EL-ELLA,3,"[(0.7742293596267709, 0.8349754869937909), (0.7812908828258525, 0.8505422949790968), (0.7866884589195262, 0.8591730713844313), (0.7957937479019176, 0.8606206476688399), (0.8048248410224925, 0.8578293144702925), (0.8179536998271955, 0.8544914066791549), (0.8280730366706861, 0.8467572212219251), (0.8394219756126416, 0.8398480474948895), (0.8467537879943862, 0.8331748485565198), (0.853432005643846, 0.8298395574092877), (0.8566104173660293, 0.8265042662620556), (0.8597888290882125, 0.830104333162309), (0.8617376387119308, 0.8328793883323682), (0.8641510128974929, 0.8354184687137616), (0.8660103738307967, 0.8360733985900893), (0.8672717750072494, 0.8367283284664169), (0.8698558032512679, 0.8341892480850233), (0.8724398314952865, 0.8316501677036298), (0.8737624585628524, 0.8291110873222364), (0.8731644988060012, 0.828759014606477), (0.8708140015602126, 0.8284069418907178), (0.8670026242733015, 0.8287097990512861), (0.8628950238227858, 0.8315517365932477), (0.8587874233722701, 0.831854593753816), (0.8566004097461715, 0.8343936741352094), (0.8561002373695388, 0.83969323039055), (0.8553768396377578, 0.8449927866458905), (0.8549496650695815, 0.8491123437881483), (0.8529256999492659, 0.8557709813117993), (0.8502258300781265, 0.8619898796081555), (0.8465204715728774, 0.8651106357574475), (0.8427990436553969, 0.8698479771614087), (0.8390776157379165, 0.8732262372970595), (0.8369529783725753, 0.8766044974327102), (0.835504245758058, 0.8778834164142623), (0.8362377941608443, 0.8788212299346938), (0.8388586044311538, 0.8781424582004561), (0.8414794147014633, 0.8761847674846661), (0.8441045761108412, 0.8749964177608502), (0.8474012911319747, 0.8743176460266128), (0.8489153563976302, 0.8738080680370344), (0.8484811782836928, 0.8732984900474561), (0.8480470001697554, 0.8727361321449294), (0.84650093317032, 0.8714044332504287)]",24.1505658,144.6880761,0
10,TAB. INICIAL,0,"[(0.04495459310710466, 0.8047994434833537), (0.04495459310710466, 0.8055642008781444), (0.04504665769636667, 0.8066866934299479), (0.045176031067967776, 0.8090629041194927), (0.045301106199622514, 0.8109012067317973), (0.04555955603718794, 0.813912445306779), (0.04581800587475336, 0.8169236838817607), (0.04654899127781429, 0.8195771872997295), (0.04765390083193817, 0.8220775425434124), (0.0486710440367464, 0.8245778977870953), (0.049554812535643956, 0.8245778977870953), (0.050631597265601534, 0.8256331145763408), (0.05143472179770507, 0.8274374783039106), (0.051826613396406554, 0.8281412720680249), (0.05221850499510803, 0.8288450658321393), (0.052610396593809505, 0.8318361043930068), (0.05274268463254013, 0.8352686643600478), (0.05248308107256927, 0.8379520773887649), (0.05222347751259841, 0.8406354904174819), (0.05196387395262756, 0.8421322286129012), (0.0517042703926567, 0.8440946400165572), (0.05151125416159667, 0.8454538285732284), (0.05133798234164753, 0.845919501781465), (0.051164710521698374, 0.8463851749897018), (0.051010088622570414, 0.8489310383796707), (0.05102299265563526, 0.8498245537281051), (0.0510358966887001, 0.8489310383796707), (0.05122207254171409, 0.8489310383796707), (0.05156287029385605, 0.8498245537281051), (0.051885018125176804, 0.8516224265098586), (0.051885018125176804, 0.8516224265098586), (0.0517136964946989, 0.8516224265098586), (0.051542374864220995, 0.8516224265098586), (0.051216431334615134, 0.8497279167175307), (0.051061809435487174, 0.8448923826217666), (0.05134051889181175, 0.8398819565773022), (0.05183075815439262, 0.8337894499301923), (0.05232099741697349, 0.8276969432830823), (0.0524923190474514, 0.8200708627700817), (0.05270280577242412, 0.8097629368305217), (0.05280082896351852, 0.8014277756214152), (0.05285864397883453, 0.7923437356948864), (0.053164042532444375, 0.7832596957683574), (0.05354077517986335, 0.7767102241516123), (0.053486321866512684, 0.7735805034637461), (0.053265622630715756, 0.7704507827758799), (0.05278323031961957, 0.7700455367565164), (0.052053254470229536, 0.7630986392498025), (0.05160889662802258, 0.7561517417430886), (0.05160889662802258, 0.7496100902557382), (0.05160889662802257, 0.7430684387683877), (0.051646931096911805, 0.743060678243638), (0.05147900134325066, 0.7495945692062387), (0.05124600566923657, 0.7582269728183755), (0.050789351388812444, 0.7668593764305124), (0.050427271053195374, 0.7754917800426492), (0.05034989155828991, 0.7775902926921855), (0.050478476285934826, 0.7796888053417217), (0.05063409246504345, 0.7775902926921855)]",33.1295809,144.6880761,0
10,TAB. CONCEPTOS,10,"[(0.7433079540729531, 0.3788686186075215), (0.7410261273384103, 0.37774297893047376), (0.7404576659202584, 0.3761799246072773), (0.7372521102428445, 0.3757425099611287), (0.7372309863567361, 0.3741794556379322), (0.7382288098335275, 0.37281191945076025), (0.7360836923122415, 0.3734300225973133), (0.7308842360973367, 0.3734300225973133), (0.7222518801689157, 0.37048404216766395), (0.7083747267723093, 0.37048404216766395), (0.6924286007881173, 0.37117466926574744), (0.6784065306186685, 0.3708097785711292), (0.6690800786018378, 0.37052040100097694), (0.6631865262985237, 0.37023102343082465), (0.6625377714633949, 0.36330557763576543), (0.6649834752082832, 0.35568950474262273), (0.6649834752082832, 0.34062981307506596), (0.6625377714633949, 0.3174050390720371), (0.6600920677185066, 0.2931151434779171), (0.657239884138108, 0.2705696091055874), (0.6532401263713844, 0.24802407473325774), (0.651686072349549, 0.22722644656896634), (0.6501320183277137, 0.2210482433438305), (0.6461238324642189, 0.21888114213943521), (0.6399608850479133, 0.21865976750850719), (0.6349455118179328, 0.21923336684703867), (0.6299301385879522, 0.2255026787519459), (0.6249147653579716, 0.2255026787519459), (0.6262426316738133, 0.22392968386411707), (0.6300717771053319, 0.22235668897628824), (0.631936758756638, 0.21998872011899992), (0.6338017404079441, 0.21762075126171157), (0.6404963493347173, 0.21740974038839384), (0.643301850557328, 0.21934532374143645), (0.6461673140525825, 0.2217132925987248), (0.6530210673809058, 0.22408126145601312), (0.6614442348480232, 0.22601684480905573), (0.6650377750396735, 0.22659044414758722), (0.6697852432727821, 0.2250174492597584), (0.6730232596397407, 0.22301206886768382), (0.6730232596397407, 0.21554913520813032), (0.6714538455009468, 0.2016866043210034), (0.6698844313621528, 0.18444728404283567)]",53.2003797,144.6880761,0
